Brand,Name,EWG,Category,Cancer,Allergies,Toxicity,Restriction,Label,Certification
ORS,ORS Olive Oil No-Lye Normal Hair Relaxer,02,Hair Relaxer,"LOW -

MODERATE","MODERATE -

HIGH","LOW -

MODERATE","LOW -

HIGH","Ingredients from packaging:
ORS Olive Oil Built-In Protection No-Lye Hair Relaxer Base :

Aqua (Water/Eau), Petrolatum, Paraffinum Liquidum (Mineral Oil/Huile Minerale), Cetearyl Alcohol, Calcium Hydroxide, Propylene Glycol, Peg-75 Lanolin, Polyquaternium-22, Olea Europaea (Olive) Fruit Oil, Ceteareth-20, Cocodimonium Hydroxypropyl Hydrolyzed Wheat Protein, Polysorbate 60
ORS Olive Oil Built-In Protection No-Lye Hair Relaxer Activator :

Aqua (Water/Eau), Guanidine Carbonate, Sorbitol, Ci 19140 (Yellow 5)
ORS Olive Oil Creamy Aloe Shampoo:

Aqua (Water/Eau), Ammonium Lauryl Sulfate, Ammonium Laureth Sulfate, Disodium Cocoamphodipropionate, Cocamide Mea, Trideceth-7 Carboxylic Acid, Olea Europaea (Olive) Fruit Oil, Aloe Barbadensis Leaf Juice, Hydrolyzed Collagen, Lecithin, Sulfated Castor Oil, Propylene Glycol, Lauryl Glucoside, Sodium Laureth Sulfate, Glycol Distearate, Laureth-10, Peg-12 Oleate, Caprylic/Capric Triglyceride, Polyquaternium-7, Polyquaternium-10, Ppg-5-Ceteth-10 Phosphate, Cetrimonium Chloride, Silicone Quaternium-2 Panthenol Succinate, Cetyl Triethylmonium Dimethicone Peg-8 Succinate, Coco-Glucoside, Glyceryl Oleate, Disodium Edta, Citric Acid, Dmdm Hydantoin, Methylchloroisothiazolinone, Methylisothiazolinone, Parfum, Butylphenyl Methylpropional, Hexyl Cinnamal, Ci 42053 (Green 3), Ci 19140 (Yellow)
ORS Olive Oil Replenishing Pak Conditioner:

Aqua (Water/Eau), Glycerin, Glycine Soja (Soybean) Oil, Olea Europaea (Olive) Fruit Oil, Citrus Aurantium Dulcis (Orange) Oil, Polyquaternium-37, Hydrolyzed Collagen, Propylene Glycol Dicaprylate/Dicaprate, Ppg-1 Trideceth-6, Quaternium-80, Propylene Glycol, Anthemis Nobilis Flower Extract, Salvia Officinalis (Sage) Extract, Urtica Dioica (Nettle) Extract, Rosmarinus Officinalis (Rosemary) Extract, Aloe Barbadensis Leaf Juice, Achillea Millefolium Extract, Actinidia Chinensis (Kiwi) Fruit Extract, Panthenol, Silk Amino Acids, Hydrolyzed Glycosaminoglycans, Peg-9 Dimethicone, Aminomethyl Propanol, Dimethicone, Disodium Edta, Dmdm Hydantoin, Methylchloroisothiazolinone, Methylisothiazolinone, Ci 15985 (Yellow 6), Ci 19140 (Yellow 5)
ORS Olive Oil Incredibly Rich Oil Moisturizing Hair Lotion:

Aqua (Water/Eau), Cocos Nucifera (Coconut) Oil, Carthamus Tinctorius (Safflower) Seed Oil, Ricinus Communis (Castor) Seed Oil, Petrolatum, Sorbitol, Cyclopentasiloxane, Cetearyl Alcohol, Dimethicone, Glyceryl Stearate, Ppg-3 Benzyl Ether Myristate, Olea Europaea (Olive) Fruit Oil, Carbomer, Sodium Cetearyl Sulfate, Stearic Acid, Aminomethyl Propanol, Disodium Edta, Bht, Phenoxyethanol, Benzoic Acid, Ethylhexylglycerin, Glycereth-2 Cocoate, Parfum, Alpha-Isomethyl Ionone, Benzyl Alcohol, Benzyl Salicylate, Butylphenyl Methylpropional, Geraniol, Hexyl Cinnamal, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Limonene, Linalool, Ci 42090 (Blue 1), Ci 19140 (Yellow 5)
ORS Olive Oil Wrap/Set Mousse:

Aqua (Water/Eau), Alcohol Denat., Cocamidopropyl Betaine, Polyquaternium-11, Olea Europaea (Olive) Fruit Oil, Panthenol, Hydrolyzed Collagen, Peg-75 Lanolin, Peg-12 Dimethicone, Cetrimonium Chloride, Quaternium-80, Oleth-20, Propylene Glycol, Phenoxyethanol, Ethylhexylglycerin, Parfum, Alpha-Isomethyl Ionone, Benzyl Alcohol, Benzyl Salicylate, Butylphenyl Methylpropional, Hexyl Cinnamal, Limonene, Linalool.
Warnings from packaging:
Contains alkali. Caution: This product contains ingredient(s) that will cause irritancy reaction when it comes into contact with the skin and/or eyes. Avoid contact with eyes. Can cause blindness. If the product comes into contact with the eyes, rinse immediately with water and contact a medical practitioner if irritation persists. Do not rub eyes. Do not use if there has been reaction to a similar product. Carefully follow the instruction sheet provided. Do not shampoo the hair 24 hours before using the relaxer, unless otherwise specified. To avoid skin and scalp irritation, hair loss, hair breakage, and/or eye/ear injury. Do not apply directly to scalp or hairline. Apply relaxer only to hair that has not been relaxed. If hair has been previously relaxed, apply only to new growth. Do not use this product if scalp is irritated or on bleached, frosted, color lifted, damaged, or curly permed hair (ammonium thioglycolate). Do not use on hair that has been treated with natural relaxers containing metallic salts or ammonium bisulfate. Wait two weeks between relaxing hair and using permanent/demi-permanent color. Rinse he scalp and hair thoroughly with water as soon as the relaxing process is complete or if irritation or discomfort occurs; and shampoo with Ors Creamy Aloe Shampoo. If irritation persists, or if hair loss occurs, consult a medical practitioner. Serious injury may result if the relaxer is ingested. For external use only. If ingested or internal contact occurs consult a medical practitioner immediately. Do not induce vomiting. Relaxer product chemically restructures curly hair and should not be used as a conditioning treatment. Keep out of reach of children.","Product's animal testing policies,Unknown"
ORS,ORS Olive Oil Built-In Protection No-Lye Hair Relaxer Activator,02,Hair Relaxer,LOW,MODERATE,LOW,LOW,"Ingredients from packaging:
Aqua (Water/Eau), Guanidine Carbonate, Sorbitol, Ci 19140 (Yellow 5)","Product's animal testing policies,Unknown"
Silk Elements,Silk Elements Shea Butter Mild Relaxer,02,Hair Relaxer,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
WATER ,PETROLATUM ,MINERAL OIL ,CETEARYL ALCOHOL ,PROPYLENE GLYCOL ,POLYSORBATE 60 ,SODIUM HYDROXIDE ,CETYL ALCOHOL ,LANETH-15 ,PEG-75 LANOLIN ,BUTYROSPERMUM PARKII (SHEA) BUTTER ,COCOS NUCIFERA (COCONUT) OIL ,SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL ,PERSEA GRATISSIMA (AVOCADO) OIL ,HYDROLYZED SILK","Product's animal testing policies,Unknown"
Silk Elements,Silk Elements Olive Oil Regular Relaxer,02,Hair Relaxer,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
WATER ,PETROLATUM ,MINERAL OIL ,CETEARYL ALCOHOL ,PROPYLENE GLYCOL ,POLYSORBATE 60 ,SODIUM HYDROXIDE ,CETYL ALCOHOL ,LANETH-15 ,PEG-75 LANOLIN ,OLEA EUROPAEA (OLIVE) FRUIT OIL ,BUTYROSPERMUM PARKII (SHEA) BUTTER ,JOJOBA ESTERS ,HYDROLYZED SILK","Product's animal testing policies,Unknown"
Silk Elements,Silk Elements Shea Butter Regular Relaxer,02,Hair Relaxer,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
WATER ,PETROLATUM ,MINERAL OIL ,CETEARYL ALCOHOL ,PROPYLENE GLYCOL ,POLYSORBATE 60 ,SODIUM HYDROXIDE ,CETYL ALCOHOL ,LANETH-15 ,PEG-75 LANOLIN ,BUTYROSPERMUM PARKII (SHEA) BUTTER ,COCOS NUCIFERA (COCONUT) OIL ,SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL ,PERSEA GRATISSIMA (AVOCADO) OIL ,HYDROLYZED SILK","Product's animal testing policies,Unknown"
ORS,ORS Olive Oil Built-In Protection No-Lye Hair Relaxer Base,04,Hair Relaxer,LOW,MODERATE,LOW,HIGH,"Ingredients from packaging:
Aqua (Water/Eau), Petrolatum, Paraffinum Liquidum (Mineral Oil/Huile Minerale), Cetearyl Alcohol, Calcium Hydroxide, Propylene Glycol, Peg-75 Lanolin, Polyquaternium-22, Olea Europaea (Olive) Fruit Oil, Ceteareth-20, Cocodimonium Hydroxypropyl Hydrolyzed Wheat Protein, Polysorbate 60","Product's animal testing policies,Unknown"
Paul Mitchell,Paul Mitchell Super Skinny Relaxing Balm,05,Hair Relaxer,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Aqua (Water, Eau), Propylene Glycol, Starch Hydroxypropyltrimonium Chloride, Guar Hydroxypropyltrimonium Chloride, Wheat Amino Acids, Hydrolyzed Wheat Protein PG-Propyl Silanetriol, Phenoxyethanol, Caprylyl Glycol, Citric Acid, Potassium Sorbate, Hexylene Glycol, Amodimethicone, Trideceth-12, Cetrimonium Chloride, Trimethylsiloxyamodimethicone, C11-15 Pareth-7, C12-16 Pareth-9, Glycerin, Parfum (Fragrance), Hexyl Cinnamal, Linalool, Benzyl Salicylate, Limonene, Geraniol, Amyl Cinnamal, Citronellol","Product's animal testing policies,Leaping Bunny"
Matrix,Matrix Biolage Styling Smoothing Shine Milk Hairspray 8.5 Fl Oz,06,Hair Relaxer,LOW,HIGH,LOW,HIGH,"Ingredients from packaging:
Aqua / Water / Eau, Dimethicone, Stearyl Alcohol, Phenoxyethanol, Behentrimonium Chloride, Amodimethicone, Isopropyl Alcohol, Laureth-23, Laureth-4, Glycerin, Ethylhexylglycerin, Trideceth-6, Parfum / Fragrance, Salicylic Acid, Agave Tequilana Leaf Extract, Triethanolamine, Cetrimonium Chloride, Limonene, Hexyl Cinnamal, Coumarin, Benzyl Alcohol, Linalool, Amyl Cinnamal, Tocopherol","Product's animal testing policies,PETA: Companies That Do Test on Animals"
ORS,"Ors, Olive Oil Creme Relaxer Extra Strength",06,Hair Relaxer,LOW,HIGH,MODERATE,HIGH,"Ingredients from packaging:
AQUA, DISODIUM COCOAMPHODIPROPIONATE, AMMONIUM LAURYL SULFATE, AMMONIUM LAURETH SULFATE, COCAMIDE MEA, TRIDECETH-7 CARBOXYLIC ACID, OLEA EUROPAEA (OLIVE) FRUIT OIL, ALOE BARBADENSIS LEAF JUICE, HYDROLYZED KERATIN, CETYL TRIETHYLMONIUM DIMETHICONE PEG-8 SUCCINATE, SILICONE QUATERNIUM-2 PANTHENOL SUCCINATE, PPG-5-CETETH-10 PHOSPHATE, COCO-GLUCOSIDE, LAURYL GLUCOSIDE, GLYCERYL OLEATE, PROPYLENE GLYCOL, PEG-12 OLEATE, SULFATED CASTOR OIL, CAPRYLIC/CAPRIC TRIGLYCERIDE, POLYQUATERNIUM-10, POLYQUATERNIUM-7, CETRIMONIUM CHLORIDE, DISODIUM EDTA, CITRIC ACID, DMDM HYDANTOIN, METHYLCHLOROISOTHIAZOLINONE, METHYLISOTHIAZOLINONE, PARFUM, HEXYL CINNAMAL, BUTYLPHENYL METHYLPROPIONAL, PHENOLSULFONPHTHALEIN","Product's animal testing policies,Unknown"
Mega Growth,"Mega Growth, Regular Strength Advanced Strengthening & Protection Anti Damage No Lye Relaxer",08,Hair Relaxer,MODERATE,HIGH,LOW,HIGH,"Ingredients from packaging:
REGULAR INGREDIENTS: CREME ACTIVATOR: AQUA/WATER, GUANIDINE CARBONATE, PETROLATUM, CETEARYL ALCOHOL, PARAFFINUM LIQUIDUM/MINERAL OIL, CETEARETH-20, POLYQUATERNIUM-37, PROPYLENE GLYCOL DICAPRYLATE/DICAPRATE, PPG-1 TRIDECETH-6, MANGIFERA INDICA SEED BUTTER/MANGO BUTTER, HYDROLYZED SILK, HYDROLYZED GLYCINE SOJA PROTEIN/HYDROLYZED SOY PROTEIN, HYDROLYZED TRITICUM VULGARE PROTEIN/HYDROLYZED WHEAT PROTEIN, HYDROLYZED AVENA SATIVA PROTEIN/HYDROLYZED OAT PROTEIN, HYDROLYZED VEGETABLE PROTEIN, CI 19140/YELLOW 5, PARFUM/FRAGRANCE. CREME RELAXER: AQUA/WATER, CETEARYL ALCOHOL, CETEARETH-20, PETROLATUM, PARAFFINUM LIQUIDUM/MINERAL OIL, CALCIUM HYDROXIDE, POLYQUATERNIUM-6, PROPYLENE GLYCOL, BUTYROSPERMUM PARKII/SHEA BUTTER, THEOBROMA CACAO SEED BUTTER/COCOA BUTTER, MANGIFERA INDICA SEED BUTTER/MANGO BUTTER, HYDROLYZED GLYCINE SOJA PROTEIN/HYDROLYZED SOYBEAN PROTEIN, GLYCINE SOJA OIL/SOYBEAN OIL, OLEA EUROPAEA OIL/OLIVE OIL, SIMMONDSIA CHINENSIS SEED OIL/JOJOBA OIL, TOCOPHEROL/VITAMIN E, MELALEUCA ALTERNIFOLIA LEAF OIL/TEA TREE OIL, PEG 75 LANOLIN. DAMAGEFREE NEUTRALIZING SHAMPOO GEL: AQUA/WATER, SODIUM LAURETH SULFATE, COCAMIDOPROPYL BETAINE, COCAMIDE MEA, POLYQUATERNIUM-7, OLEA EUROPAEA OIL/OLIVE OIL, BUTYROSPERMUM PARKII/SHEA BUTTER, PERSEA GRATISSIMA OIL/AVOCADO OIL, HYDROLYZED TRITICUM VULGARE PROTEIN/HYDROLYZED WHEAT PROTEIN, HYDROLYZED GLYCINE SOJA PROTEIN/HYDROLYZED SOY PROTEIN, HYDROLYZED OAT PROTEIN, ARGANIA SPINOSA KERNEL OIL/ARGAN OIL, COCOS NUCIFERA OIL/COCONUT OIL, PANAX GINSENG ROOT EXTRACT, ALOE BARBADENSIS LEAF EXTRACT, GLYCINE SOJA OIL/SOYBEAN OIL, HYDROLYZED VEGETABLE PROTEIN PG-PROPYL SILANETRIOL, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN, PHENOLSULFONPHTHALEIN, GLUTAMIC ACID, SODIUM GLUTAMATE, PARFUM/ FRAGRANCE, BENZYL BENZOATE, CITRAL, D-LIMONENE, HEXYL CINNAMAL, LILIAL, LINALOOL. BREAKFREE DAILY LEAVE-IN STRENGTHENER: AQUA/WATER, PROPYLENE GLYCOL, POLYQUATERNIUM-37, PROPYLENE GLYCOL DICAPRYLATE/DICAPRATE, PPG-1 TRIDECETH-6, OLEA EUROPAEA OIL/OLIVE OIL, BUTYROSPERMUM PARKII /SHEA BUTTER, PERSEA GRATISSIMA OIL/AVOCADO OIL, HYDROLYZED TRITICUM VULGARE PROTEIN/HYDROLYZED WHEAT PROTEIN, HYDROLYZED GLYCINE SOJA PROTEIN/HYDROLYZED SOY PROTEIN, HYDROLYZED OAT PROTEIN, ARGANIA SPINOSA KERNEL OIL/ARGAN OIL, COCOS NUCIFERA OIL/COCONUT OIL, PANAX GINSENG ROOT EXTRACT, ALOE BARBADENSIS LEAF EXTRACT, HYDROLYZED VEGETABLE PROTEIN PG-PROPYL SILANETRIOL, GLYCINE SOJA OIL/SOYBEAN OIL, GLYCERIN, TRIMETHYLSILYLAMODIMETHICONE, CETYL ALCOHOL, STEARALKONIUM CHLORIDE, ACRYLAMIDOPROPYLTRIMONIUM CHLORIDE/ACRYLATES COPOLYMER, PHENOXYETHANOL, ETHYLHEXYLGLYCERIN, CI 17200/RED 33, CI 15985/YELLOW 6, PARFUM/FRAGRANCE, BENZYL BENZOATE, CITRAL, D-LIMONENE, HEXYL CINNAMAL, LILIAL, LINALOOL.","Product's animal testing policies,Unknown"
